"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103","Get and set configuration options","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.config()","",""
"","163","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-06-19","passed","2026-06-19","","","",""
"","81","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-06-19","passed","2026-06-19","","","",""
"","924","cy.go() - go back or forward in the browser's history","Navigation","2026-06-19","passed","2026-06-19","","","",""
"","102","cy.readFile() - read file contents","Files","2026-06-19","passed","2026-06-19","","","",""
"","1078","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-06-19","passed","2026-06-19","","","",""
"","1589","retries the should callback until assertions pass","Assertions","2026-06-19","passed","2026-06-19","","Explicit Assertions","",""
"","356","cy.visit() - visit a remote url","Navigation","2026-06-19","passed","2026-06-19","","","",""
"","391",".blur() - blur off a DOM element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","93",".siblings() - get all sibling DOM elements","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","247",".add() - create a custom command","Cypress APIs","2026-06-19","passed","2026-06-19","","Cypress.Commands","",""
"","252","cy.request() - save response in the shared test context","Network Requests","2026-06-19","passed","2026-06-19","","","",""
"","103","cy.fixture() or require - load a fixture","Files","2026-06-19","passed","2026-06-19","","","",""
"","100","matches unknown text between two elements","Assertions","2026-06-19","passed","2026-06-19","","Explicit Assertions","",""
"","255",".children() - get child DOM elements","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","356",".as() - alias a route for later use","Aliasing","2026-06-19","passed","2026-06-19","","","",""
"","100",".parent() - get parent DOM element from DOM elements","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","105",".within() - query DOM elements within a specific element","Querying","2026-06-19","passed","2026-06-19","","","",""
"","89","yields the original subject without return","Connectors","2026-06-19","passed","2026-06-19","",".then()","",""
"","144",".focus() - focus on a DOM element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","435","displays two todo items by default","example to-do app","2026-06-19","passed","2026-06-19","","","",""
"","97",".prev() - get previous sibling DOM element","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","96","pass your own callback function to should()","Assertions","2026-06-19","passed","2026-06-19","","Explicit Assertions","",""
"","94",".parents() - get parent DOM elements from DOM elements","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","230","cy.window() - get the global window object","Window","2026-06-19","passed","2026-06-19","","","",""
"","211","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-06-19","passed","2026-06-19","","","",""
"","181","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-06-19","passed","2026-06-19","","","",""
"","488",".clear() - clears an input or textarea element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","96",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","90",".last() - get last DOM element","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","163","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-06-19","passed","2026-06-19","","","",""
"","194",".dblclick() - double click on a DOM element","Actions","2026-06-19","passed","2026-06-19","","","",""
"","208","cy.request() - pass result to the second request","Network Requests","2026-06-19","passed","2026-06-19","","","",""
"","93",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-06-19","passed","2026-06-19","","","",""
"","270","cy.get() - query DOM elements","Querying","2026-06-19","passed","2026-06-19","","","",""
"","112","expect - make an assertion about a specified subject","Assertions","2026-06-19","passed","2026-06-19","","Explicit Assertions","",""
"","270","cy.focused() - get the DOM element that has focus","Misc","2026-06-19","passed","2026-06-19","","","",""
"","935","cy.screenshot() - take a screenshot","Misc","2026-06-19","passed","2026-06-19","","Cypress.Screenshot","",""
"","132","cy.getAllCookies() - get all browser cookies","Cookies","2026-06-19","passed","2026-06-19","","","",""
"","272","can filter for completed tasks","example to-do app","2026-06-19","passed","2026-06-19","","with a checked task","",""
"","24","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-06-19","passed","2026-06-19","","","",""
"","205","cy.clearCookie() - clear a browser cookie","Cookies","2026-06-19","passed","2026-06-19","","","",""
"","107",".invoke() - invoke a function on the current subject","Connectors","2026-06-19","passed","2026-06-19","","","",""
"","182","Cypress.$ - call a jQuery method","Utilities","2026-06-19","passed","2026-06-19","","","",""
"","341","cy.getCookie() - get a browser cookie","Cookies","2026-06-19","passed","2026-06-19","","","",""
"","2815","cy.viewport() - set the viewport size and dimension","Viewport","2026-06-19","passed","2026-06-19","","","",""
